Date,Ticker,residual_beta_used,residual_alpha_used,residual_log_return,residual_mom_52_4w_observed,residual_mom_score_observed,residual_mom_score_tradable,asset_class
2005-02-11,EWJ,,,,,,,Equities
2005-02-11,GLD,,,,,,,Commodities
2005-02-11,LQD,,,,,,,Bonds
2005-02-11,SHY,,,,,,,Bonds
2005-02-11,IWM,,,,,,,Equities
2005-02-11,IAU,,,,,,,Commodities
2005-02-11,VWO,,,,,,,Equities
2005-02-11,USO,,,,,,,Commodities
2005-02-11,SLV,,,,,,,Commodities
2005-02-11,DBA,,,,,,,Commodities
2005-02-11,UUP,,,,,,,FX
2005-02-11,MBB,,,,,,,Bonds
2005-02-11,HYG,,,,,,,Bonds
2005-02-11,BIL,,,,,,,Bonds
2005-02-11,VEA,,,,,,,Equities
2005-02-11,PDBC,,,,,,,Commodities
2005-02-18,TIP,,,,,,,Bonds
2005-02-18,SPY,,,,,,,Equities
2005-02-18,XLV,,,,,,,Equities
2005-02-18,XLU,,,,,,,Equities
2005-02-18,XLP,,,,,,,Equities
2005-02-18,XLK,,,,,,,Equities
2005-02-18,XLI,,,,,,,Equities
2005-02-18,XLF,,,,,,,Equities
2005-02-18,XLE,,,,,,,Equities
2005-02-18,XLB,,,,,,,Equities
2005-02-18,VUG,,,,,,,Equities
2005-02-18,VTV,,,,,,,Equities
2005-02-18,VNQ,,,,,,,REITs
2005-02-18,TLT,,,,,,,Bonds
2005-02-18,XLY,,,,,,,Equities
2005-02-18,IEF,,,,,,,Bonds
2005-02-18,EEM,,,,,,,Equities
2005-02-18,QQQ,,,,,,,Equities
2005-02-18,EFA,,,,,,,Equities
2005-02-18,EWJ,,,,,,,Equities
2005-02-18,GLD,,,,,,,Commodities
2005-02-18,LQD,,,,,,,Bonds
2005-02-18,SHY,,,,,,,Bonds
2005-02-18,IWM,,,,,,,Equities
2005-02-18,IAU,,,,,,,Commodities
2005-02-18,VWO,,,,,,,Equities
2005-02-18,USO,,,,,,,Commodities
2005-02-18,SLV,,,,,,,Commodities
2005-02-18,DBA,,,,,,,Commodities
2005-02-18,UUP,,,,,,,FX
2005-02-18,MBB,,,,,,,Bonds
2005-02-18,HYG,,,,,,,Bonds
2005-02-18,BIL,,,,,,,Bonds
2005-02-18,VEA,,,,,,,Equities
2005-02-18,PDBC,,,,,,,Commodities
2005-02-25,TIP,,,,,,,Bonds
2005-02-25,SPY,,,,,,,Equities
2005-02-25,XLV,,,,,,,Equities
2005-02-25,XLU,,,,,,,Equities
2005-02-25,XLP,,,,,,,Equities
2005-02-25,XLK,,,,,,,Equities
2005-02-25,XLI,,,,,,,Equities
2005-02-25,XLF,,,,,,,Equities
2005-02-25,XLE,,,,,,,Equities
2005-02-25,XLB,,,,,,,Equities
2005-02-25,VUG,,,,,,,Equities
2005-02-25,VTV,,,,,,,Equities
2005-02-25,VNQ,,,,,,,REITs
2005-02-25,TLT,,,,,,,Bonds
2005-02-25,XLY,,,,,,,Equities
2005-02-25,IEF,,,,,,,Bonds
2005-02-25,EEM,,,,,,,Equities
2005-02-25,QQQ,,,,,,,Equities
2005-02-25,EFA,,,,,,,Equities
2005-02-25,EWJ,,,,,,,Equities
2005-02-25,GLD,,,,,,,Commodities
2005-02-25,LQD,,,,,,,Bonds
2005-02-25,SHY,,,,,,,Bonds
2005-02-25,IWM,,,,,,,Equities
2005-02-25,IAU,,,,,,,Commodities
2005-02-25,VWO,,,,,,,Equities
2005-02-25,USO,,,,,,,Commodities
2005-02-25,SLV,,,,,,,Commodities
2005-02-25,DBA,,,,,,,Commodities
2005-02-25,UUP,,,,,,,FX
2005-02-25,MBB,,,,,,,Bonds
2005-02-25,HYG,,,,,,,Bonds
2005-02-25,BIL,,,,,,,Bonds
2005-02-25,VEA,,,,,,,Equities
2005-02-25,PDBC,,,,,,,Commodities
2005-03-04,TIP,,,,,,,Bonds
2005-03-04,SPY,,,,,,,Equities
2005-03-04,XLV,,,,,,,Equities
2005-03-04,XLU,,,,,,,Equities
2005-03-04,XLP,,,,,,,Equities
2005-03-04,XLK,,,,,,,Equities
2005-03-04,XLI,,,,,,,Equities
2005-03-04,XLF,,,,,,,Equities
2005-03-04,XLE,,,,,,,Equities
2005-03-04,XLB,,,,,,,Equities
2005-03-04,VUG,,,,,,,Equities
2005-03-04,VTV,,,,,,,Equities
2005-03-04,VNQ,,,,,,,REITs
2005-03-04,TLT,,,,,,,Bonds
2005-03-04,XLY,,,,,,,Equities
2005-03-04,IEF,,,,,,,Bonds
2005-03-04,EEM,,,,,,,Equities
2005-03-04,QQQ,,,,,,,Equities
2005-03-04,EFA,,,,,,,Equities
2005-03-04,EWJ,,,,,,,Equities
2005-03-04,GLD,,,,,,,Commodities
2005-03-04,LQD,,,,,,,Bonds
2005-03-04,SHY,,,,,,,Bonds
2005-03-04,IWM,,,,,,,Equities
2005-03-04,IAU,,,,,,,Commodities
2005-03-04,VWO,,,,,,,Equities
2005-03-04,USO,,,,,,,Commodities
2005-03-04,SLV,,,,,,,Commodities
2005-03-04,DBA,,,,,,,Commodities
2005-03-04,UUP,,,,,,,FX
2005-03-04,MBB,,,,,,,Bonds
2005-03-04,HYG,,,,,,,Bonds
2005-03-04,BIL,,,,,,,Bonds
2005-03-04,VEA,,,,,,,Equities
2005-03-04,PDBC,,,,,,,Commodities
2005-03-11,TIP,,,,,,,Bonds
2005-03-11,SPY,,,,,,,Equities
2005-03-11,XLV,,,,,,,Equities
2005-03-11,XLU,,,,,,,Equities
2005-03-11,XLP,,,,,,,Equities
2005-03-11,XLK,,,,,,,Equities
2005-03-11,XLI,,,,,,,Equities
2005-03-11,XLF,,,,,,,Equities
2005-03-11,XLE,,,,,,,Equities
2005-03-11,XLB,,,,,,,Equities
2005-03-11,VUG,,,,,,,Equities
2005-03-11,VTV,,,,,,,Equities
2005-03-11,VNQ,,,,,,,REITs
2005-03-11,TLT,,,,,,,Bonds
2005-03-11,XLY,,,,,,,Equities
2005-03-11,IEF,,,,,,,Bonds
2005-03-11,EEM,,,,,,,Equities
2005-03-11,QQQ,,,,,,,Equities
2005-03-11,EFA,,,,,,,Equities
2005-03-11,EWJ,,,,,,,Equities
2005-03-11,GLD,,,,,,,Commodities
2005-03-11,LQD,,,,,,,Bonds
2005-03-11,SHY,,,,,,,Bonds
2005-03-11,IWM,,,,,,,Equities
2005-03-11,IAU,,,,,,,Commodities
2005-03-11,VWO,,,,,,,Equities
2005-03-11,USO,,,,,,,Commodities
2005-03-11,SLV,,,,,,,Commodities
2005-03-11,DBA,,,,,,,Commodities
2005-03-11,UUP,,,,,,,FX
2005-03-11,MBB,,,,,,,Bonds
2005-03-11,HYG,,,,,,,Bonds
2005-03-11,BIL,,,,,,,Bonds
2005-03-11,VEA,,,,,,,Equities
2005-03-11,PDBC,,,,,,,Commodities
2005-03-18,TIP,,,,,,,Bonds
2005-03-18,SPY,,,,,,,Equities
2005-03-18,XLV,,,,,,,Equities
2005-03-18,XLU,,,,,,,Equities
2005-03-18,XLP,,,,,,,Equities
2005-03-18,XLK,,,,,,,Equities
2005-03-18,XLI,,,,,,,Equities
2005-03-18,XLF,,,,,,,Equities
2005-03-18,XLE,,,,,,,Equities
2005-03-18,XLB,,,,,,,Equities
2005-03-18,VUG,,,,,,,Equities
2005-03-18,VTV,,,,,,,Equities
2005-03-18,VNQ,,,,,,,REITs
2005-03-18,TLT,,,,,,,Bonds
2005-03-18,XLY,,,,,,,Equities
2005-03-18,IEF,,,,,,,Bonds
2005-03-18,EEM,,,,,,,Equities
2005-03-18,QQQ,,,,,,,Equities
2005-03-18,EFA,,,,,,,Equities
2005-03-18,EWJ,,,,,,,Equities
2005-03-18,GLD,,,,,,,Commodities
2005-03-18,LQD,,,,,,,Bonds
2005-03-18,SHY,,,,,,,Bonds
2005-03-18,IWM,,,,,,,Equities
2005-03-18,IAU,,,,,,,Commodities
2005-03-18,VWO,,,,,,,Equities
2005-03-18,USO,,,,,,,Commodities
2005-03-18,SLV,,,,,,,Commodities
2005-03-18,DBA,,,,,,,Commodities
2005-03-18,UUP,,,,,,,FX
2005-03-18,MBB,,,,,,,Bonds
2005-03-18,HYG,,,,,,,Bonds
2005-03-18,BIL,,,,,,,Bonds
2005-03-18,VEA,,,,,,,Equities
2005-03-18,PDBC,,,,,,,Commodities
2005-03-25,TIP,,,,,,,Bonds
2005-03-25,SPY,,,,,,,Equities
2005-03-25,XLV,,,,,,,Equities
2005-03-25,XLU,,,,,,,Equities
2005-03-25,XLP,,,,,,,Equities
2005-03-25,XLK,,,,,,,Equities
2005-03-25,XLI,,,,,,,Equities
2005-03-25,XLF,,,,,,,Equities
2005-03-25,XLE,,,,,,,Equities
2005-03-25,XLB,,,,,,,Equities
2005-03-25,VUG,,,,,,,Equities
2005-03-25,VTV,,,,,,,Equities
2005-03-25,VNQ,,,,,,,REITs
2005-03-25,TLT,,,,,,,Bonds
2005-03-25,XLY,,,,,,,Equities
2005-03-25,IEF,,,,,,,Bonds
2005-03-25,EEM,,,,,,,Equities
2005-03-25,QQQ,,,,,,,Equities
2005-03-25,EFA,,,,,,,Equities
2005-03-25,EWJ,,,,,,,Equities
2005-03-25,GLD,,,,,,,Commodities
2005-03-25,LQD,,,,,,,Bonds
2005-03-25,SHY,,,,,,,Bonds
2005-03-25,IWM,,,,,,,Equities
2005-03-25,IAU,,,,,,,Commodities
2005-03-25,VWO,,,,,,,Equities
2005-03-25,USO,,,,,,,Commodities
2005-03-25,SLV,,,,,,,Commodities
2005-03-25,DBA,,,,,,,Commodities
2005-03-25,UUP,,,,,,,FX
2005-03-25,MBB,,,,,,,Bonds
2005-03-25,HYG,,,,,,,Bonds
2005-03-25,BIL,,,,,,,Bonds
2005-03-25,VEA,,,,,,,Equities
2005-03-25,PDBC,,,,,,,Commodities
2005-04-01,TIP,,,,,,,Bonds
2005-04-01,SPY,,,,,,,Equities
2005-04-01,XLV,,,,,,,Equities
2005-04-01,XLU,,,,,,,Equities
2005-04-01,XLP,,,,,,,Equities
2005-04-01,XLK,,,,,,,Equities
2005-04-01,XLI,,,,,,,Equities
2005-04-01,XLF,,,,,,,Equities
2005-04-01,XLE,,,,,,,Equities
2005-04-01,XLB,,,,,,,Equities
2005-04-01,VUG,,,,,,,Equities
2005-04-01,VTV,,,,,,,Equities
2005-04-01,VNQ,,,,,,,REITs
2005-04-01,TLT,,,,,,,Bonds
2005-04-01,XLY,,,,,,,Equities
2005-04-01,IEF,,,,,,,Bonds
2005-04-01,EEM,,,,,,,Equities
2005-04-01,QQQ,,,,,,,Equities
2005-04-01,EFA,,,,,,,Equities
2005-04-01,EWJ,,,,,,,Equities
2005-04-01,GLD,,,,,,,Commodities
2005-04-01,LQD,,,,,,,Bonds
2005-04-01,SHY,,,,,,,Bonds
2005-04-01,IWM,,,,,,,Equities
2005-04-01,IAU,,,,,,,Commodities
2005-04-01,VWO,,,,,,,Equities
2005-04-01,USO,,,,,,,Commodities
2005-04-01,SLV,,,,,,,Commodities
2005-04-01,DBA,,,,,,,Commodities
2005-04-01,UUP,,,,,,,FX
2005-04-01,MBB,,,,,,,Bonds
2005-04-01,HYG,,,,,,,Bonds
2005-04-01,BIL,,,,,,,Bonds
2005-04-01,VEA,,,,,,,Equities
2005-04-01,PDBC,,,,,,,Commodities
2005-04-08,TIP,,,,,,,Bonds
2005-04-08,SPY,,,,,,,Equities
2005-04-08,XLV,,,,,,,Equities
2005-04-08,XLU,,,,,,,Equities
2005-04-08,XLP,,,,,,,Equities
2005-04-08,XLK,,,,,,,Equities
2005-04-08,XLI,,,,,,,Equities
2005-04-08,XLF,,,,,,,Equities
2005-04-08,XLE,,,,,,,Equities
2005-04-08,XLB,,,,,,,Equities
2005-04-08,VUG,,,,,,,Equities
2005-04-08,VTV,,,,,,,Equities
2005-04-08,VNQ,,,,,,,REITs
2005-04-08,TLT,,,,,,,Bonds
2005-04-08,XLY,,,,,,,Equities
2005-04-08,IEF,,,,,,,Bonds
2005-04-08,EEM,,,,,,,Equities
2005-04-08,QQQ,,,,,,,Equities
2005-04-08,EFA,,,,,,,Equities
2005-04-08,EWJ,,,,,,,Equities
2005-04-08,GLD,,,,,,,Commodities
2005-04-08,LQD,,,,,,,Bonds
2005-04-08,SHY,,,,,,,Bonds
2005-04-08,IWM,,,,,,,Equities
2005-04-08,IAU,,,,,,,Commodities
2005-04-08,VWO,,,,,,,Equities
2005-04-08,USO,,,,,,,Commodities
2005-04-08,SLV,,,,,,,Commodities
2005-04-08,DBA,,,,,,,Commodities
2005-04-08,UUP,,,,,,,FX
2005-04-08,MBB,,,,,,,Bonds
2005-04-08,HYG,,,,,,,Bonds
2005-04-08,BIL,,,,,,,Bonds
2005-04-08,VEA,,,,,,,Equities
2005-04-08,PDBC,,,,,,,Commodities
2005-04-15,TIP,,,,,,,Bonds
2005-04-15,SPY,,,,,,,Equities
2005-04-15,XLV,,,,,,,Equities
2005-04-15,XLU,,,,,,,Equities
2005-04-15,XLP,,,,,,,Equities
2005-04-15,XLK,,,,,,,Equities
2005-04-15,XLI,,,,,,,Equities
2005-04-15,XLF,,,,,,,Equities
2005-04-15,XLE,,,,,,,Equities
2005-04-15,XLB,,,,,,,Equities
2005-04-15,VUG,,,,,,,Equities
2005-04-15,VTV,,,,,,,Equities
2005-04-15,VNQ,,,,,,,REITs
2005-04-15,TLT,,,,,,,Bonds
2005-04-15,XLY,,,,,,,Equities
2005-04-15,IEF,,,,,,,Bonds
2005-04-15,EEM,,,,,,,Equities
2005-04-15,QQQ,,,,,,,Equities
2005-04-15,EFA,,,,,,,Equities
2005-04-15,EWJ,,,,,,,Equities
2005-04-15,GLD,,,,,,,Commodities
2005-04-15,LQD,,,,,,,Bonds
2005-04-15,SHY,,,,,,,Bonds
2005-04-15,IWM,,,,,,,Equities
2005-04-15,IAU,,,,,,,Commodities
2005-04-15,VWO,,,,,,,Equities
2005-04-15,USO,,,,,,,Commodities
2005-04-15,SLV,,,,,,,Commodities
2005-04-15,DBA,,,,,,,Commodities
2005-04-15,UUP,,,,,,,FX
2005-04-15,MBB,,,,,,,Bonds
2005-04-15,HYG,,,,,,,Bonds
2005-04-15,BIL,,,,,,,Bonds
2005-04-15,VEA,,,,,,,Equities
2005-04-15,PDBC,,,,,,,Commodities
2005-04-22,TIP,,,,,,,Bonds
2005-04-22,SPY,,,,,,,Equities
2005-04-22,XLV,,,,,,,Equities
2005-04-22,XLU,,,,,,,Equities
2005-04-22,XLP,,,,,,,Equities
2005-04-22,XLK,,,,,,,Equities
2005-04-22,XLI,,,,,,,Equities
2005-04-22,XLF,,,,,,,Equities
2005-04-22,XLE,,,,,,,Equities
2005-04-22,XLB,,,,,,,Equities
2005-04-22,VUG,,,,,,,Equities
2005-04-22,VTV,,,,,,,Equities
2005-04-22,VNQ,,,,,,,REITs
2005-04-22,TLT,,,,,,,Bonds
2005-04-22,XLY,,,,,,,Equities
2005-04-22,IEF,,,,,,,Bonds
2005-04-22,EEM,,,,,,,Equities
2005-04-22,QQQ,,,,,,,Equities
2005-04-22,EFA,,,,,,,Equities
2005-04-22,EWJ,,,,,,,Equities
2005-04-22,GLD,,,,,,,Commodities
2005-04-22,LQD,,,,,,,Bonds
2005-04-22,SHY,,,,,,,Bonds
2005-04-22,IWM,,,,,,,Equities
2005-04-22,IAU,,,,,,,Commodities
2005-04-22,VWO,,,,,,,Equities
2005-04-22,USO,,,,,,,Commodities
2005-04-22,SLV,,,,,,,Commodities
2005-04-22,DBA,,,,,,,Commodities
2005-04-22,UUP,,,,,,,FX
2005-04-22,MBB,,,,,,,Bonds
2005-04-22,HYG,,,,,,,Bonds
2005-04-22,BIL,,,,,,,Bonds
2005-04-22,VEA,,,,,,,Equities
2005-04-22,PDBC,,,,,,,Commodities
2005-04-29,TIP,,,,,,,Bonds
2005-04-29,SPY,,,,,,,Equities
2005-04-29,XLV,,,,,,,Equities
2005-04-29,XLU,,,,,,,Equities
2005-04-29,XLP,,,,,,,Equities
2005-04-29,XLK,,,,,,,Equities
2005-04-29,XLI,,,,,,,Equities
2005-04-29,XLF,,,,,,,Equities
2005-04-29,XLE,,,,,,,Equities
2005-04-29,XLB,,,,,,,Equities
2005-04-29,VUG,,,,,,,Equities
2005-04-29,VTV,,,,,,,Equities
2005-04-29,VNQ,,,,,,,REITs
2005-04-29,TLT,,,,,,,Bonds
2005-04-29,XLY,,,,,,,Equities
2005-04-29,IEF,,,,,,,Bonds
2005-04-29,EEM,,,,,,,Equities
2005-04-29,QQQ,,,,,,,Equities
2005-04-29,EFA,,,,,,,Equities
2005-04-29,EWJ,,,,,,,Equities
2005-04-29,GLD,,,,,,,Commodities
2005-04-29,LQD,,,,,,,Bonds
2005-04-29,SHY,,,,,,,Bonds
2005-04-29,IWM,,,,,,,Equities
2005-04-29,IAU,,,,,,,Commodities
2005-04-29,VWO,,,,,,,Equities
2005-04-29,USO,,,,,,,Commodities
2005-04-29,SLV,,,,,,,Commodities
2005-04-29,DBA,,,,,,,Commodities
2005-04-29,UUP,,,,,,,FX
2005-04-29,MBB,,,,,,,Bonds
2005-04-29,HYG,,,,,,,Bonds
2005-04-29,BIL,,,,,,,Bonds
2005-04-29,VEA,,,,,,,Equities
2005-04-29,PDBC,,,,,,,Commodities
2005-05-06,TIP,,,,,,,Bonds
2005-05-06,SPY,,,,,,,Equities
2005-05-06,XLV,,,,,,,Equities
2005-05-06,XLU,,,,,,,Equities
2005-05-06,XLP,,,,,,,Equities
2005-05-06,XLK,,,,,,,Equities
2005-05-06,XLI,,,,,,,Equities
2005-05-06,XLF,,,,,,,Equities
2005-05-06,XLE,,,,,,,Equities
2005-05-06,XLB,,,,,,,Equities
2005-05-06,VUG,,,,,,,Equities
2005-05-06,VTV,,,,,,,Equities
2005-05-06,VNQ,,,,,,,REITs
2005-05-06,TLT,,,,,,,Bonds
2005-05-06,XLY,,,,,,,Equities
2005-05-06,IEF,,,,,,,Bonds
2005-05-06,EEM,,,,,,,Equities
2005-05-06,QQQ,,,,,,,Equities
2005-05-06,EFA,,,,,,,Equities
2005-05-06,EWJ,,,,,,,Equities
2005-05-06,GLD,,,,,,,Commodities
2005-05-06,LQD,,,,,,,Bonds
2005-05-06,SHY,,,,,,,Bonds
2005-05-06,IWM,,,,,,,Equities
2005-05-06,IAU,,,,,,,Commodities
2005-05-06,VWO,,,,,,,Equities
2005-05-06,USO,,,,,,,Commodities
2005-05-06,SLV,,,,,,,Commodities
2005-05-06,DBA,,,,,,,Commodities
2005-05-06,UUP,,,,,,,FX
2005-05-06,MBB,,,,,,,Bonds
2005-05-06,HYG,,,,,,,Bonds
2005-05-06,BIL,,,,,,,Bonds
2005-05-06,VEA,,,,,,,Equities
2005-05-06,PDBC,,,,,,,Commodities
2005-05-13,TIP,,,,,,,Bonds
2005-05-13,SPY,,,,,,,Equities
2005-05-13,XLV,,,,,,,Equities
2005-05-13,XLU,,,,,,,Equities
2005-05-13,XLP,,,,,,,Equities
2005-05-13,XLK,,,,,,,Equities
2005-05-13,XLI,,,,,,,Equities
2005-05-13,XLF,,,,,,,Equities
2005-05-13,XLE,,,,,,,Equities
2005-05-13,XLB,,,,,,,Equities
2005-05-13,VUG,,,,,,,Equities
2005-05-13,VTV,,,,,,,Equities
2005-05-13,VNQ,,,,,,,REITs
2005-05-13,TLT,,,,,,,Bonds
2005-05-13,XLY,,,,,,,Equities
